;Vivienda;Precio (€);Numero habitaciones;Metros cuadrados (m²);Municipio;Zona;Barrio;Garaje;Descripcion;Regimen;Planta;Interior/Exterior;Ascensor;1 persona;2 personas;3 personas;4 personas;5 o más personas;Población;m2;Total Total;Total Antes de 1900;Total De 1900 a 1920;Total De 1921 a 1940;Total De 1941 a 1950;Total De 1951 a 1960;Total De 1961 a 1970;Total De 1971 a 1980;Total De 1981 a 1990;Total De 1991 a 2000;Total De 2001 a 2010;Total De 2011 a 2020;Total No consta;Vivienda principal Total;Vivienda principal Antes de 1900;Vivienda principal De 1900 a 1920;Vivienda principal De 1921 a 1940;Vivienda principal De 1941 a 1950;Vivienda principal De 1951 a 1960;Vivienda principal De 1961 a 1970;Vivienda principal De 1971 a 1980;Vivienda principal De 1981 a 1990;Vivienda principal De 1991 a 2000;Vivienda principal De 2001 a 2010;Vivienda principal De 2011 a 2020;Vivienda principal No consta;Vivienda no principal Total;Vivienda no principal Antes de 1900;Vivienda no principal De 1900 a 1920;Vivienda no principal De 1921 a 1940;Vivienda no principal De 1941 a 1950;Vivienda no principal De 1951 a 1960;Vivienda no principal De 1961 a 1970;Vivienda no principal De 1971 a 1980;Vivienda no principal De 1981 a 1990;Vivienda no principal De 1991 a 2000;Vivienda no principal De 2001 a 2010;Vivienda no principal De 2011 a 2020;Vivienda no principal No consta
878;Piso en calle de Lepant, La Sagrada Família, Barcelona;597300;2;86.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 5ª exterior con ascensor;Compra;5ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
879;Piso en La Sagrada Família, Barcelona;608150;3;85.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 4ª exterior con ascensor;Compra;4ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
880;Piso en calle de Sicília, La Sagrada Família, Barcelona;795000;3;122.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 4ª exterior con ascensor;Compra;4ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
881;Piso en calle de la Marina, La Sagrada Família, Barcelona;360000;2;58.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 8ª exterior con ascensor;Compra;8ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
882;Piso en calle de Còrsega, La Sagrada Família, Barcelona;227000;2;55.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 3ª exterior con ascensor;Compra;3ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
883;Piso en calle de Padilla, La Sagrada Família, Barcelona;395000;2;76.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 1ª exterior con ascensor;Compra;1ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
884;Piso en La Sagrada Família, Barcelona;450000;4;103.0;Barcelona;Eixample;La Sagrada Familia;No;Entreplanta exterior con ascensor;Compra;Entreplanta;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
885;Piso en La Sagrada Família, Barcelona;420000;3;84.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 1ª exterior con ascensor;Compra;1ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
886;Ático en La Sagrada Família, Barcelona;550000;2;140.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 9ª exterior con ascensor;Compra;9ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
887;Piso en calle de Provença, La Sagrada Família, Barcelona;390000;3;94.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 1ª exterior con ascensor;Compra;1ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
888;Piso en calle de València, La Sagrada Família, Barcelona;325000;2;60.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 4ª exterior con ascensor;Compra;4ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
889;Piso en calle de los Castillejos, La Sagrada Família, Barcelona;404500;4;102.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 4ª exterior con ascensor;Compra;4ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
890;Dúplex en calle de la Industria, La Sagrada Família, Barcelona;825000;3;99.0;Barcelona;Eixample;La Sagrada Familia;Garaje incluido;Planta 6ª exterior con ascensor;Compra;6ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
891;Piso en calle Sardenya, 344, La Sagrada Família, Barcelona;742000;3;104.0;Barcelona;Eixample;La Sagrada Familia;No; exterior con ascensor;Compra;Indeterminado;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
892;Piso en calle Sardenya, 344, La Sagrada Família, Barcelona;750000;3;109.0;Barcelona;Eixample;La Sagrada Familia;No; exterior con ascensor;Compra;Indeterminado;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
