Vivienda;Precio;Numero habitaciones;Metros cuadrados;Ciudad;Zona;Barrio;Garaje;Descripcion
Piso en calle de Alba de Tormes, 41, Puerta Bonita, Madrid;283000;3 hab.;100 m²;madrid;carabanchel;puerta-bonita;Garaje incluido;Planta 3ª exterior con ascensor
Piso en calle Pajarera Real, 8, Puerta Bonita, Madrid;298000;2 hab.;92 m²;madrid;carabanchel;puerta-bonita;Garaje incluido;Planta 2ª exterior con ascensor
Piso en Puerta Bonita, Madrid;295000;4 hab.;105 m²;madrid;carabanchel;puerta-bonita;Garaje incluido;Planta 4ª exterior con ascensor
Piso en calle Falcinelo, Puerta Bonita, Madrid;140000;1 hab.;52 m²;madrid;carabanchel;puerta-bonita;No;Planta 1ª exterior sin ascensor
Piso en Puerta Bonita, Madrid;119900;2 hab.;55 m²;madrid;carabanchel;puerta-bonita;No;Bajo interior sin ascensor
Piso en calle Carlos Heredero, 1, Puerta Bonita, Madrid;179000;3 hab.;77 m²;madrid;carabanchel;puerta-bonita;No;Planta 1ª exterior sin ascensor
Piso en calle de Alba de Tormes, Puerta Bonita, Madrid;250000;3 hab.;97 m²;madrid;carabanchel;puerta-bonita;Garaje incluido;Entreplanta exterior con ascensor
Ático en Dátil, 21, Puerta Bonita, Madrid;237896;1 hab.;45 m²;madrid;carabanchel;puerta-bonita;No;Planta 4ª exterior con ascensor
Piso en calle Francisco Guzmán, Puerta Bonita, Madrid;150000;2 hab.;55 m²;madrid;carabanchel;puerta-bonita;No;Planta 3ª interior sin ascensor
Ático en Dátil, 21, Puerta Bonita, Madrid;241532;no definido;46 m²;madrid;carabanchel;puerta-bonita;No;Planta 4ª exterior con ascensor
Ático en Dátil, 21, Puerta Bonita, Madrid;237896;no definido;45 m²;madrid;carabanchel;puerta-bonita;No;Planta 4ª exterior con ascensor
Ático en Dátil, 21, Puerta Bonita, Madrid;252669;1 hab.;61 m²;madrid;carabanchel;puerta-bonita;No;Planta 1ª exterior con ascensor
Piso en calle del Diario la Nación, Puerta Bonita, Madrid;172000;2 hab.;70 m²;madrid;carabanchel;puerta-bonita;No;Planta 1ª exterior con ascensor
Piso en calle Durazno, 9, Puerta Bonita, Madrid;219600;1 hab.;63 m²;madrid;carabanchel;puerta-bonita;No;Bajo exterior con ascensor
Piso en calle Durazno, 9, Puerta Bonita, Madrid;317400;2 hab.;74 m²;madrid;carabanchel;puerta-bonita;No;Planta 2ª exterior con ascensor
Piso en calle Durazno, 9, Puerta Bonita, Madrid;487500;3 hab.;111 m²;madrid;carabanchel;puerta-bonita;No;Bajo exterior con ascensor
Piso en calle Durazno, 9, Puerta Bonita, Madrid;327500;2 hab.;73 m²;madrid;carabanchel;puerta-bonita;No;Planta 3ª exterior con ascensor
Ático en calle Durazno, 9, Puerta Bonita, Madrid;412500;2 hab.;79 m²;madrid;carabanchel;puerta-bonita;No; exterior con ascensor
Ático en calle Durazno, 9, Puerta Bonita, Madrid;419900;2 hab.;83 m²;madrid;carabanchel;puerta-bonita;No; exterior con ascensor
Ático en calle Durazno, 9, Puerta Bonita, Madrid;354100;2 hab.;86 m²;madrid;carabanchel;puerta-bonita;No; exterior con ascensor
Piso en Puerta Bonita, Madrid;160000;1 hab.;45 m²;madrid;carabanchel;puerta-bonita;No;Bajo exterior con ascensor
