id,municipio,2020M08,2021M02,2021M08,2022M02,2022M08,2023M02,2023M08,2024M02
31038,Artajona,0,0,0,1,1,1,1,1
31039,Artazu,0,1,1,0,3,3,3,3
31040,Atetz,0,0,0,0,0,0,0,0
31041,Ayegui/Aiegi,2,2,3,3,8,9,7,7
31042,Azagra,1,0,1,1,1,1,1,2
31043,Azuelo,0,0,0,0,0,0,0,0
31044,Bakaiku,1,1,1,1,1,1,1,1
31045,Barásoain,0,0,0,0,0,0,0,0
31046,Barbarin,0,0,0,0,0,0,0,1
31047,Bargota,0,0,0,0,0,0,0,0
31048,Barillas,0,0,0,0,0,0,0,1
31049,Basaburua,4,1,3,5,7,8,5,7
31050,Baztan,46,43,48,40,43,41,49,52
31051,Beire,0,0,0,0,0,0,0,0
31052,Belascoáin,0,0,0,0,0,0,0,0
31053,Berbinzana,0,0,0,0,0,0,0,0
31054,Bertizarana,1,1,1,0,2,0,2,3
31055,Betelu,0,0,0,0,0,0,0,0
31056,Biurrun-Olcoz,0,0,0,0,0,0,2,2
31057,Buñuel,0,0,0,0,0,0,0,1
31058,Auritz/Burguete,1,0,0,1,1,1,0,0
31059,Burgui/Burgi,1,0,1,0,1,1,1,1
31060,Burlada/Burlata,8,6,5,6,13,13,8,16
31061,"Busto, El",1,1,1,1,2,2,2,2
31062,Cabanillas,1,1,1,3,3,3,3,5
31063,Cabredo,0,0,0,0,0,0,0,0
31064,Cadreita,4,4,4,4,5,2,3,8
31065,Caparroso,6,6,6,2,2,2,2,2
31066,Cárcar,0,0,0,0,4,5,7,7
31067,Carcastillo,1,1,1,1,1,1,1,0
31068,Cascante,5,5,5,6,7,10,10,10
31069,Cáseda,0,0,0,0,0,0,0,0
31070,Castejón,3,3,3,2,2,2,3,3
31071,Castillonuevo,0,0,0,0,0,0,0,0
31072,Cintruénigo,0,0,0,0,2,2,3,3
31073,Ziordia,0,0,0,0,0,0,0,0
31074,Cirauqui/Zirauki,3,1,1,1,1,1,1,1
31075,Ciriza/Ziritza,0,0,0,0,0,0,0,0
31076,Cizur,4,3,4,4,5,5,6,6
31077,Corella,10,9,8,11,11,11,12,12
31078,Cortes,0,0,0,0,0,0,0,0
31079,Desojo,0,0,0,0,0,0,0,0
31080,Dicastillo,0,0,0,0,1,1,0,0
31081,Donamaria,1,0,1,1,2,2,2,1
31082,Etxalar,8,10,7,8,6,3,3,4
31083,Echarri/Etxarri,0,0,0,0,0,0,0,0
31084,Etxarri Aranatz,2,3,4,4,4,4,5,4
31085,Etxauri,0,0,0,0,0,0,0,0
31086,Valle de Egüés/Eguesibar,11,11,12,11,19,16,14,17
31087,Elgorriaga,0,0,0,0,1,1,0,0
31088,Noáin (Valle de Elorz)/Noain (Elortzibar),4,3,3,4,3,0,0,5
31089,Enériz/Eneritz,2,2,2,2,2,2,2,2
31090,Eratsun,0,0,0,0,0,0,0,0
31091,Ergoiena,1,1,1,1,1,1,1,1
31092,Erro,3,2,3,2,5,5,4,7
31093,Ezcároz/Ezkaroze,0,0,0,0,0,0,1,1
31094,Eslava,0,0,0,0,0,0,0,0
31095,Esparza de Salazar/Espartza Zaraitzu,0,0,0,0,0,0,0,0
31096,Espronceda,1,1,1,1,1,0,0,0
31097,Estella-Lizarra,37,38,40,36,40,37,36,44
31098,Esteribar,3,3,3,7,7,8,9,19
31099,Etayo,0,0,1,1,1,1,2,2
31100,Eulate,0,0,0,0,0,0,0,0
31101,Ezcabarte,2,1,1,1,2,2,4,5
31102,Ezkurra,1,1,1,1,1,1,1,3
31103,Ezprogui,0,0,0,0,0,0,0,0
31104,Falces,0,0,0,0,0,0,0,0
31105,Fitero,1,1,5,2,3,4,6,6
31106,Fontellas,1,1,1,1,1,1,1,1
31107,Funes,0,0,0,0,0,0,0,0
31108,Fustiñana,0,0,0,0,0,0,2,2
31109,Galar,3,1,2,1,4,4,6,5
31110,Gallipienzo/Galipentzu,0,0,0,0,0,0,0,0
31111,Gallués/Galoze,0,0,0,0,0,0,0,0
31112,Garaioa,0,0,0,0,2,1,0,0
31113,Garde,0,0,0,0,0,0,1,0
31114,Garínoain,0,0,0,0,0,0,0,0
31115,Garralda,2,2,4,2,2,2,2,2
31116,Genevilla,0,0,0,0,0,0,0,0
31117,Goizueta,0,0,0,0,0,0,0,0
31118,Goñi,1,1,1,1,1,1,1,1
31119,Güesa/Gorza,0,0,0,0,0,0,0,0
31120,Guesálaz/Gesalatz,4,3,4,3,3,3,2,1
31121,Guirguillano,0,0,0,0,0,0,0,0
31122,Huarte/Uharte,1,1,1,2,4,3,5,11
31123,Uharte Arakil,2,3,2,3,3,3,2,2
31124,Ibargoiti,0,0,0,0,0,0,0,0
31125,Igúzquiza,1,1,0,0,0,0,0,0
31126,Imotz,2,2,2,2,5,3,5,9
31127,Irañeta,0,1,0,0,1,1,1,1
31128,Isaba/Izaba,4,3,4,2,3,10,7,7
31129,Ituren,0,1,0,0,1,0,1,2
31130,Iturmendi,2,1,0,0,0,4,4,4
31131,Iza/Itza,1,1,0,1,0,2,5,3
31132,Izagaondoa,0,0,0,0,0,0,0,0
31133,Izalzu/Itzaltzu,3,2,1,3,1,2,2,2
31134,Jaurrieta,2,0,2,1,2,1,2,1
31135,Javier,0,0,0,0,1,0,1,1
31136,Juslapeña/Txulapain,0,0,0,0,0,0,2,1
31137,Beintza-Labaien,1,1,1,1,2,2,2,2
31138,Lakuntza,1,2,2,2,2,4,4,4
31139,Lana,0,0,0,0,0,0,0,0
31140,Lantz,0,0,0,0,0,0,0,0
31141,Lapoblación,0,0,0,0,0,0,0,0
31142,Larraga,0,0,0,0,0,0,0,0
31143,Larraona,0,0,0,0,0,0,0,0
31144,Larraun,3,3,4,3,4,4,5,6
31145,Lazagurría,0,0,0,0,0,0,0,0
31146,Leache/Leatxe,0,0,0,0,0,0,2,2
31147,Legarda,0,0,0,0,0,0,0,0
31148,Legaria,0,1,1,1,0,0,0,0
31149,Leitza,2,3,4,3,4,5,5,5
31150,Leoz/Leotz,0,0,0,0,0,0,1,1
31151,Lerga,0,0,0,0,0,0,0,0
31152,Lerín,1,1,1,1,1,1,2,10
31153,Lesaka,7,6,9,6,10,6,5,8
31154,Lezaun,1,1,1,1,1,1,2,1
31155,Liédena,1,1,1,1,0,1,0,1
31156,Lizoain-Arriasgoiti/Lizoainibar-Arriasgoiti,0,1,1,2,1,2,2,2
31157,Lodosa,1,1,1,1,1,0,0,0
31158,Lónguida/Longida,1,1,2,1,3,3,3,3
31159,Lumbier,4,3,4,3,3,3,3,3
31160,Luquin,0,0,0,0,0,0,0,0
31161,Mañeru,0,0,0,0,0,0,0,0
31162,Marañón,1,1,1,1,1,1,1,1
31163,Marcilla,1,0,0,0,1,2,0,0
31164,Mélida,0,0,0,0,0,0,0,0
31165,Mendavia,1,1,0,0,0,0,1,2
31166,Mendaza,1,1,1,1,1,2,1,1
31167,Mendigorria,0,0,0,0,0,1,0,0
31168,Metauten,1,1,1,1,2,2,4,4
31169,Milagro,3,3,3,3,3,3,3,3
31170,Mirafuentes,0,0,0,0,0,0,0,0
31171,Miranda de Arga,1,1,1,1,1,1,1,2
31172,Monreal/Elo,1,1,1,1,1,1,0,0
31173,Monteagudo,0,0,1,1,1,1,1,1
31174,Morentin,0,0,0,0,0,0,0,2
31175,Mues,0,0,0,0,0,0,0,0
31176,Murchante,4,4,4,4,5,6,7,5
31177,Murieta,0,0,0,1,1,2,2,2
31178,Murillo el Cuende,2,2,0,0,0,0,1,2
31179,Murillo el Fruto,1,3,1,1,1,1,1,1
31180,Muruzábal,0,0,0,0,0,0,0,1
31181,Navascués/Nabaskoze,0,0,0,0,0,0,0,0
31182,Nazar,0,0,0,0,0,0,0,0
31183,Obanos,5,5,5,3,4,4,3,8
31184,Oco,0,0,0,0,0,0,0,0
31185,Ochagavía/Otsagabia,6,6,6,6,6,6,7,9
31186,Odieta,1,1,0,0,0,0,0,0
31187,Oiz,0,0,0,0,0,0,1,1
31188,Olaibar,2,1,1,1,1,1,1,1
31189,Olazti/Olazagutía,5,5,5,0,0,0,3,3
31190,Olejua,0,0,0,0,0,0,0,0
31191,Olite/Erriberri,21,20,18,18,18,21,25,26
31192,Olóriz/Oloritz,0,0,0,0,0,0,0,0
31193,Cendea de Olza/Oltza Zendea,4,4,5,4,3,2,2,2
31194,Valle de Ollo/Ollaran,0,0,0,0,2,2,4,4
31195,Orbaizeta,1,0,1,1,1,1,1,4
31196,Orbara,0,0,0,0,0,0,0,0
31197,Orísoain,0,0,0,0,0,0,0,0
31198,Oronz/Orontze,0,0,0,0,0,0,1,1
31199,Oroz-Betelu/Orotz-Betelu,1,1,1,1,0,1,1,0
31200,Oteiza,0,0,0,0,0,0,0,0
31201,Pamplona/Iruña,449,403,397,366,522,516,563,670
31202,Peralta/Azkoien,2,2,2,0,0,2,2,4
31203,Petilla de Aragón,0,0,0,0,0,0,0,0
31204,Piedramillera,0,0,0,0,0,0,0,0
31205,Pitillas,0,0,0,0,0,1,2,1
31206,Puente la Reina/Gares,1,1,3,4,5,4,3,3
31207,Pueyo/Puiu,2,2,2,2,1,1,1,1
31208,Ribaforada,0,0,0,1,1,2,2,2
31209,Romanzado/Erromantzatua,0,0,0,0,0,0,0,0
31210,Roncal/Erronkari,0,0,0,0,0,0,0,0
31211,Orreaga/Roncesvalles,2,2,2,2,2,2,2,2
31212,Sada,0,0,0,0,0,0,0,1
31213,Saldías,0,0,0,0,0,0,0,0
31214,Salinas de Oro/Jaitz,0,0,0,0,0,0,0,0
31215,San Adrián,1,1,1,1,1,1,1,2
31216,Sangüesa/Zangoza,5,5,4,4,4,4,5,6
31217,San Martín de Unx,1,1,1,1,1,1,1,1
31219,Sansol,2,2,2,2,0,0,0,0
31220,Santacara,0,0,0,0,0,0,0,0
31221,Doneztebe/Santesteban,1,1,0,0,1,0,0,0
31222,Sarriés/Sartze,0,0,0,0,0,0,0,0
31223,Sartaguda,0,0,0,0,0,0,0,0
31224,Sesma,0,0,0,0,1,1,1,1
31225,Sorlada,0,0,0,1,1,1,1,0
31226,Sunbilla,4,5,5,4,4,7,5,11
31227,Tafalla,2,2,4,2,2,3,4,4
31228,Tiebas-Muruarte de Reta,0,0,0,0,0,0,0,0
31229,Tirapu,0,0,0,0,0,0,0,0
31230,Torralba del Río,0,0,0,0,0,0,0,0
31231,Torres del Río,0,0,0,0,0,0,0,0
31232,Tudela,66,77,60,56,73,69,73,94
31233,Tulebras,0,0,0,0,0,0,0,0
31234,Ucar,0,0,0,0,0,0,0,0
31235,Ujué/Uxue,2,2,2,3,3,3,3,3
31236,Ultzama,7,7,6,11,10,12,10,11
31237,Unciti,2,2,2,2,3,3,1,2
31238,Unzué/Untzue,0,0,0,0,0,0,0,0
31239,Urdazubi/Urdax,12,8,9,7,10,12,11,11
31240,Urdiain,0,0,0,0,1,0,1,0
31241,Urraul Alto,0,0,0,0,0,0,0,0
31242,Urraul Bajo,1,1,2,1,1,1,1,1
31243,Urroz-Villa,0,0,0,0,0,0,0,0
31244,Urroz,1,1,1,1,1,1,0,0
31245,Urzainqui/Urzainki,0,0,0,0,0,0,0,0
31246,Uterga,0,0,1,1,2,2,1,1
31247,Uztárroz/Uztarroze,0,0,0,0,0,0,0,0
31248,Luzaide/Valcarlos,11,10,11,11,13,24,24,24
31249,Valtierra,8,7,7,7,7,11,11,13
31250,Bera,5,6,4,5,6,6,8,8
31251,Viana,7,6,7,5,9,13,14,14
31252,Vidángoz/Bidankoze,0,0,0,0,0,0,0,0
31253,Bidaurreta,0,0,0,0,1,1,1,0
31254,Villafranca,0,0,0,0,3,5,7,7
31255,Villamayor de Monjardín,0,0,0,0,0,0,0,0
31256,Hiriberri/Villanueva de Aezkoa,0,0,0,0,0,0,2,3
31257,Villatuerta,1,1,1,1,0,0,0,0
31258,Villava/Atarrabia,11,11,11,12,11,7,8,11
31259,Igantzi,5,5,4,14,14,15,16,4
31260,Valle de Yerri/Deierri,2,3,5,4,7,10,9,10
31261,Yesa,1,1,1,1,2,2,2,2
31262,Zabalza/Zabaltza,0,0,0,0,0,0,0,0
31263,Zubieta,0,0,0,0,0,0,0,0
31264,Zugarramurdi,2,2,2,3,5,1,5,5
31265,Zúñiga,0,0,0,0,0,0,0,0
31901,Barañáin/Barañain,27,24,25,23,20,16,18,28
31902,Berrioplano/Berriobeiti,6,5,6,9,14,9,7,7
31903,Berriozar,8,4,4,5,5,7,7,3
31904,Irurtzun,0,0,0,0,0,1,0,0
31905,Beriáin,0,0,0,0,1,0,0,0
31906,Orkoien,0,0,0,1,0,2,2,2
31907,Zizur Mayor/Zizur Nagusia,15,16,16,10,19,22,21,28
31908,Lekunberri,4,2,4,4,6,5,4,5
32,Ourense,637,592,669,671,792,790,924,1009
32001,Allariz,23,22,30,29,33,35,46,47
32002,Amoeiro,6,10,8,6,8,6,6,5
32003,"Arnoia, A",7,7,8,5,10,7,6,6
32004,Avión,0,0,0,0,0,0,0,0
32005,Baltar,0,0,2,2,2,2,2,2
32006,Bande,1,0,0,0,0,1,0,0
32007,Baños de Molgas,0,0,0,0,1,0,3,6
32008,Barbadás,12,10,9,7,11,10,10,10
32009,"Barco de Valdeorras, O",8,11,8,10,13,14,18,22
32010,Beade,1,1,2,2,3,2,2,2
32011,Beariz,6,4,4,4,4,5,3,4
32012,"Blancos, Os",0,0,0,0,0,0,0,0
32013,Boborás,7,7,7,7,2,2,2,2
32014,"Bola, A",1,1,1,1,2,3,2,2
32015,"Bolo, O",2,0,1,0,1,0,1,0
32016,Calvos de Randín,0,0,0,0,0,0,0,0
32017,Carballeda de Valdeorras,3,3,5,6,5,4,4,4
32018,Carballeda de Avia,1,2,2,1,1,1,2,2
32019,"Carballiño, O",8,8,9,11,12,12,19,23
32020,Cartelle,0,0,0,0,3,3,7,7
32021,Castrelo do Val,3,3,3,3,3,4,0,0
32022,Castrelo de Miño,7,7,6,6,7,9,12,16
32023,Castro Caldelas,13,13,15,15,23,24,27,32
32024,Celanova,15,13,12,12,11,11,15,23
32025,Cenlle,5,5,6,7,7,7,8,7
32026,Coles,9,8,9,11,11,13,10,11
32027,Cortegada,3,4,2,4,3,3,4,6
32028,Cualedro,0,0,0,0,0,0,2,3
