Municipios (con más de 50.000 habitantes) y capitales de provincia;Tamaño del hogar;Superficia de la vivienda;Total
13034 Ciudad Real;2 personas;Total (superficie útil);7.829
13034 Ciudad Real;3 personas;Total (superficie útil);6.025
13034 Ciudad Real;4 personas;Total (superficie útil);5.247
13034 Ciudad Real;5 o más personas;Total (superficie útil);2.003
14021 Córdoba;Total (tamaño del hogar);Total (superficie útil);122.668
14021 Córdoba;1 persona;Total (superficie útil);31.242
14021 Córdoba;2 personas;Total (superficie útil);33.205
14021 Córdoba;3 personas;Total (superficie útil);25.885
14021 Córdoba;4 personas;Total (superficie útil);23.487
14021 Córdoba;5 o más personas;Total (superficie útil);8.849
15030 Coruña, A;Total (tamaño del hogar);Total (superficie útil);104.637
15030 Coruña, A;1 persona;Total (superficie útil);32.234
15030 Coruña, A;2 personas;Total (superficie útil);32.136
15030 Coruña, A;3 personas;Total (superficie útil);21.498
15030 Coruña, A;4 personas;Total (superficie útil);13.961
15030 Coruña, A;5 o más personas;Total (superficie útil);4.808
15036 Ferrol;Total (tamaño del hogar);Total (superficie útil);29.247
15036 Ferrol;1 persona;Total (superficie útil);10.067
15036 Ferrol;2 personas;Total (superficie útil);9.340
15036 Ferrol;3 personas;Total (superficie útil);5.539
15036 Ferrol;4 personas;Total (superficie útil);3.192
15036 Ferrol;5 o más personas;Total (superficie útil);1.109
15078 Santiago de Compostela;Total (tamaño del hogar);Total (superficie útil);39.315
15078 Santiago de Compostela;1 persona;Total (superficie útil);11.936
15078 Santiago de Compostela;2 personas;Total (superficie útil);10.552
15078 Santiago de Compostela;3 personas;Total (superficie útil);8.123
15078 Santiago de Compostela;4 personas;Total (superficie útil);5.938
15078 Santiago de Compostela;5 o más personas;Total (superficie útil);2.766
16078 Cuenca;Total (tamaño del hogar);Total (superficie útil);22.187
16078 Cuenca;1 persona;Total (superficie útil);6.880
16078 Cuenca;2 personas;Total (superficie útil);5.925
16078 Cuenca;3 personas;Total (superficie útil);4.580
16078 Cuenca;4 personas;Total (superficie útil);3.472
16078 Cuenca;5 o más personas;Total (superficie útil);1.330
17079 Girona;Total (tamaño del hogar);Total (superficie útil);38.711
17079 Girona;1 persona;Total (superficie útil);10.523
17079 Girona;2 personas;Total (superficie útil);10.736
17079 Girona;3 personas;Total (superficie útil);7.568
17079 Girona;4 personas;Total (superficie útil);6.221
17079 Girona;5 o más personas;Total (superficie útil);3.663
18087 Granada;Total (tamaño del hogar);Total (superficie útil);98.316
18087 Granada;1 persona;Total (superficie útil);33.549
18087 Granada;2 personas;Total (superficie útil);27.223
18087 Granada;3 personas;Total (superficie útil);17.464
18087 Granada;4 personas;Total (superficie útil);13.384
18087 Granada;5 o más personas;Total (superficie útil);6.696
18140 Motril;Total (tamaño del hogar);Total (superficie útil);21.576
18140 Motril;1 persona;Total (superficie útil);4.946
18140 Motril;2 personas;Total (superficie útil);5.554
18140 Motril;3 personas;Total (superficie útil);4.828
18140 Motril;4 personas;Total (superficie útil);4.372
18140 Motril;5 o más personas;Total (superficie útil);1.876
19130 Guadalajara;Total (tamaño del hogar);Total (superficie útil);34.106
19130 Guadalajara;1 persona;Total (superficie útil);9.459
19130 Guadalajara;2 personas;Total (superficie útil);9.436
