Municipios (con más de 50.000 habitantes) y capitales de provincia;Régimen de tenencia de la vivienda;Total
35022 Santa Lucía de Tirajana;Otro régimen de tenencia;2.767
35026 Telde;Total (régimen de tenencia);38.205
35026 Telde;En propiedad;25.570
35026 Telde;En alquiler;8.152
35026 Telde;Otro régimen de tenencia;4.483
36038 Pontevedra;Total (régimen de tenencia);33.017
36038 Pontevedra;En propiedad;24.322
36038 Pontevedra;En alquiler;5.866
36038 Pontevedra;Otro régimen de tenencia;2.829
36057 Vigo;Total (régimen de tenencia);114.082
36057 Vigo;En propiedad;81.984
36057 Vigo;En alquiler;22.106
36057 Vigo;Otro régimen de tenencia;9.992
37274 Salamanca;Total (régimen de tenencia);63.989
37274 Salamanca;En propiedad;49.828
37274 Salamanca;En alquiler;10.093
37274 Salamanca;Otro régimen de tenencia;4.068
38006 Arona;Total (régimen de tenencia);33.223
38006 Arona;En propiedad;18.191
38006 Arona;En alquiler;11.070
38006 Arona;Otro régimen de tenencia;3.962
38017 Granadilla de Abona;Total (régimen de tenencia);19.311
38017 Granadilla de Abona;En propiedad;11.687
38017 Granadilla de Abona;En alquiler;5.624
38017 Granadilla de Abona;Otro régimen de tenencia;2.000
38023 San Cristóbal de La Laguna;Total (régimen de tenencia);59.144
38023 San Cristóbal de La Laguna;En propiedad;38.359
38023 San Cristóbal de La Laguna;En alquiler;15.076
38023 San Cristóbal de La Laguna;Otro régimen de tenencia;5.709
38038 Santa Cruz de Tenerife;Total (régimen de tenencia);81.056
38038 Santa Cruz de Tenerife;En propiedad;54.041
38038 Santa Cruz de Tenerife;En alquiler;19.564
38038 Santa Cruz de Tenerife;Otro régimen de tenencia;7.451
39075 Santander;Total (régimen de tenencia);72.467
39075 Santander;En propiedad;53.287
39075 Santander;En alquiler;12.297
39075 Santander;Otro régimen de tenencia;6.883
39087 Torrelavega;Total (régimen de tenencia);21.213
39087 Torrelavega;En propiedad;17.119
39087 Torrelavega;En alquiler;2.401
39087 Torrelavega;Otro régimen de tenencia;1.693
40194 Segovia;Total (régimen de tenencia);20.808
40194 Segovia;En propiedad;14.450
40194 Segovia;En alquiler;4.448
40194 Segovia;Otro régimen de tenencia;1.910
41004 Alcalá de Guadaíra;Total (régimen de tenencia);26.922
41004 Alcalá de Guadaíra;En propiedad;22.491
41004 Alcalá de Guadaíra;En alquiler;2.931
41004 Alcalá de Guadaíra;Otro régimen de tenencia;1.500
41038 Dos Hermanas;Total (régimen de tenencia);47.885
41038 Dos Hermanas;En propiedad;40.861
41038 Dos Hermanas;En alquiler;4.819
41038 Dos Hermanas;Otro régimen de tenencia;2.205
41091 Sevilla;Total (régimen de tenencia);266.588
41091 Sevilla;En propiedad;210.473
41091 Sevilla;En alquiler;37.015
41091 Sevilla;Otro régimen de tenencia;19.100
41095 Utrera;Total (régimen de tenencia);18.708
41095 Utrera;En propiedad;15.217
41095 Utrera;En alquiler;2.364
41095 Utrera;Otro régimen de tenencia;1.127
42173 Soria;Total (régimen de tenencia);16.713
42173 Soria;En propiedad;13.609
42173 Soria;En alquiler;2.026
42173 Soria;Otro régimen de tenencia;1.078
43123 Reus;Total (régimen de tenencia);40.520
43123 Reus;En propiedad;29.264
43123 Reus;En alquiler;8.770
43123 Reus;Otro régimen de tenencia;2.486
43148 Tarragona;Total (régimen de tenencia);53.551
43148 Tarragona;En propiedad;37.515
43148 Tarragona;En alquiler;12.863
43148 Tarragona;Otro régimen de tenencia;3.173
44216 Teruel;Total (régimen de tenencia);14.270
44216 Teruel;En propiedad;11.342
44216 Teruel;En alquiler;1.651
44216 Teruel;Otro régimen de tenencia;1.277
45165 Talavera de la Reina;Total (régimen de tenencia);31.662
45165 Talavera de la Reina;En propiedad;23.574
45165 Talavera de la Reina;En alquiler;4.994
45165 Talavera de la Reina;Otro régimen de tenencia;3.094
45168 Toledo;Total (régimen de tenencia);32.321
45168 Toledo;En propiedad;23.765
45168 Toledo;En alquiler;6.077
45168 Toledo;Otro régimen de tenencia;2.479
46131 Gandia;Total (régimen de tenencia);30.322
46131 Gandia;En propiedad;23.190
46131 Gandia;En alquiler;4.960
46131 Gandia;Otro régimen de tenencia;2.172
46190 Paterna;Total (régimen de tenencia);27.007
46190 Paterna;En propiedad;21.882
46190 Paterna;En alquiler;4.118
46190 Paterna;Otro régimen de tenencia;1.007
46220 Sagunto/Sagunt;Total (régimen de tenencia);27.883
46220 Sagunto/Sagunt;En propiedad;22.386
46220 Sagunto/Sagunt;En alquiler;3.276
46220 Sagunto/Sagunt;Otro régimen de tenencia;2.221
46244 Torrent;Total (régimen de tenencia);30.874
46244 Torrent;En propiedad;24.750
46244 Torrent;En alquiler;4.423
46244 Torrent;Otro régimen de tenencia;1.701
46250 València;Total (régimen de tenencia);323.171
46250 València;En propiedad;242.186
46250 València;En alquiler;55.865
46250 València;Otro régimen de tenencia;25.120
47186 Valladolid;Total (régimen de tenencia);127.185
47186 Valladolid;En propiedad;96.543
47186 Valladolid;En alquiler;18.622
47186 Valladolid;Otro régimen de tenencia;12.020
