Municipios (con más de 50.000 habitantes) y capitales de provincia;Tipo de vivienda (principal o no);Año de construcción del edificio;Total
03099 Orihuela;Vivienda principal;De 2001 a 2010;11.183
03099 Orihuela;Vivienda principal;De 2011 a 2020;947
03099 Orihuela;Vivienda principal;No consta;291
03099 Orihuela;Vivienda no principal;Total;56.703
03099 Orihuela;Vivienda no principal;Antes de 1900;201
03099 Orihuela;Vivienda no principal;De 1900 a 1920;876
03099 Orihuela;Vivienda no principal;De 1921 a 1940;1.073
03099 Orihuela;Vivienda no principal;De 1941 a 1950;424
03099 Orihuela;Vivienda no principal;De 1951 a 1960;661
03099 Orihuela;Vivienda no principal;De 1961 a 1970;1.292
03099 Orihuela;Vivienda no principal;De 1971 a 1980;3.580
03099 Orihuela;Vivienda no principal;De 1981 a 1990;6.639
03099 Orihuela;Vivienda no principal;De 1991 a 2000;9.621
03099 Orihuela;Vivienda no principal;De 2001 a 2010;25.933
03099 Orihuela;Vivienda no principal;De 2011 a 2020;6.170
03099 Orihuela;Vivienda no principal;No consta;233
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Total;Total;27.151
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Total;Antes de 1900;39
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Total;De 1900 a 1920;356
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Total;De 1921 a 1940;243
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Total;De 1941 a 1950;379
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Total;De 1951 a 1960;791
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Total;De 1961 a 1970;2.996
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Total;De 1971 a 1980;3.941
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Total;De 1981 a 1990;3.328
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Total;De 1991 a 2000;5.236
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Total;De 2001 a 2010;9.288
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Total;De 2011 a 2020;407
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Total;No consta;147
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda principal;Total;21.721
